order_id,order_date,customer_id,product_id,payment_method,payment_status,quantity,unit_price,discount,net_sales
ORD000001,2026-08-01,C0158,P039,Bank Transfer,PAID,2,940.5,0.0,1881.0
ORD000002,2026-12-01,C0123,P038,Bank Transfer,PAID,1,12900.0,0.1,11610.0
ORD000003,2026-01-26,C0119,P031,PromptPay,PAID,3,1415.5,0.05,4034.175
ORD000004,2026-01-18,C0065,P003,Bank Transfer,PAID,2,25900.0,0.0,51800.0
ORD000005,2026-08-01,C0129,P007,Credit Card,PAID,2,23310.0,0.05,44289.0
ORD000006,2026-01-23,C0097,P037,Bank Transfer,PAID,2,27195.0,0.0,54390.0
ORD000007,2026-01-24,C0139,P001,Bank Transfer,PAID,1,284.05,0.0,284.05
ORD000009,2026-01-16,C0162,P017,Bank Transfer,PAID,1,990.0,0.05,940.5
ORD000010,2026-07-01,C0100,P017,Bank Transfer,PAID,2,990.0,0.1,1782.0
ORD000011,2026-12-01,C0120,P028,Credit Card,PAID,2,313.95,0.0,627.9
ORD000012,2026-08-01,C0141,P008,Bank Transfer,PAID,2,449.1,0.05,853.2900000000001
ORD000013,2026-01-27,C0110,P002,Bank Transfer,PAID,2,1341.0,0.0,2682.0
ORD000014,2026-01-20,C0142,P017,Credit Card,PAID,4,990.0,0.0,3960.0
ORD000015,2026-04-01,C0151,P018,Bank Transfer,PAID,2,4189.5,0.0,8379.0
ORD000016,2026-01-18,C0072,P006,Bank Transfer,PAID,1,313.95,0.0,313.95
ORD000017,2026-01-27,C0048,P019,Bank Transfer,PAID,2,3591.0,0.0,7182.0
ORD000018,2026-05-01,C0037,P001,Bank Transfer,PAID,3,299.0,0.0,897.0
ORD000019,2026-01-14,C0159,P019,PromptPay,PAID,1,4189.5,0.1,3770.55
ORD000020,2026-08-01,C0115,P007,Credit Card,PAID,1,25900.0,0.0,25900.0
ORD000021,2026-01-18,C0007,P007,Bank Transfer,PAID,1,27195.0,0.05,25835.25
ORD000022,2026-01-15,C0049,P999,Credit Card,PAID,2,499.0,0.0,998.0
ORD000023,2026-10-01,C0071,P034,Bank Transfer,FAILED,1,299.0,0.1,269.1
ORD000024,2026-01-28,C0042,P033,Bank Transfer,PAID,1,13545.0,0.0,13545.0
ORD000025,2026-07-01,C0079,P011,Credit Card,PAID,1,25900.0,0.0,25900.0
ORD000026,2026-04-01,C0107,P008,Credit Card,PAID,1,499.0,0.0,499.0
ORD000027,2026-01-23,C0143,P019,Credit Card,PAID,2,3790.5,0.1,6822.9
ORD000028,2026-08-01,C0139,P013,Credit Card,PAID,4,523.95,0.0,2095.8
ORD000029,2026-09-01,C0161,P028,Bank Transfer,PAID,1,269.1,0.1,242.19000000000003
ORD000030,2026-10-01,C0003,P006,PromptPay,PAID,1,299.0,0.05,284.05
ORD000031,2026-01-16,C0087,P027,PromptPay,PAID,1,24605.0,0.0,24605.0
